label,category,value
Google,2016,77.82
Google,2017,81.62
Bing (Bing),2016,7.96
Bing (Bing),2017,7.04
Baidu (Bing),2016,6.37
Baidu (Bing),2017,5.21
Yahoo (Yandex),2016,6.39
Yahoo (Yandex),2017,4.64
Ask (Baidu),2016,0.15
Ask (Baidu),2017,0.15
AOL (Haosou),2016,0.08
AOL (Haosou),2017,0.04
Excite (Bing),2016,0.01
Excite (Bing),2017,0.02
Other,2016,1.22
Other,2017,1.28
Bing Sum,2016,14.34
Bing Sum,2017,12.27
