label,category,value
2017-09-12,Total IPv6 %,16.681415
2017-09-11,Total IPv6 %,16.763412
2017-09-10,Total IPv6 %,19.830628
2017-09-09,Total IPv6 %,20.497795
2017-09-08,Total IPv6 %,17.791575
2017-09-07,Total IPv6 %,16.963556
2017-09-06,Total IPv6 %,16.852235
2017-09-05,Total IPv6 %,16.806408
2017-09-04,Total IPv6 %,18.140456
2017-09-03,Total IPv6 %,20.044058
2017-09-02,Total IPv6 %,20.737261
2017-09-01,Total IPv6 %,18.427195
2017-08-31,Total IPv6 %,17.488559
2017-08-30,Total IPv6 %,17.147793
2017-08-29,Total IPv6 %,16.986644
2017-08-28,Total IPv6 %,17.008601
2017-08-27,Total IPv6 %,19.63091
2017-08-26,Total IPv6 %,20.469959
2017-08-25,Total IPv6 %,17.9705
2017-08-24,Total IPv6 %,17.229617
2017-08-23,Total IPv6 %,17.078025
2017-08-22,Total IPv6 %,17.011112
2017-08-21,Total IPv6 %,17.444108
2017-08-20,Total IPv6 %,19.96135
2017-08-19,Total IPv6 %,20.279234
2017-08-18,Total IPv6 %,18.119448
2017-08-17,Total IPv6 %,17.345198
2017-08-16,Total IPv6 %,17.223557
2017-08-15,Total IPv6 %,17.786811
2017-08-14,Total IPv6 %,17.716813
2017-08-13,Total IPv6 %,19.816527
2017-08-12,Total IPv6 %,20.334777
2017-08-11,Total IPv6 %,18.262415
2017-08-10,Total IPv6 %,17.511999
2017-08-09,Total IPv6 %,17.259436
2017-08-08,Total IPv6 %,17.209208
2017-08-07,Total IPv6 %,17.329615
2017-08-06,Total IPv6 %,19.746332
2017-08-05,Total IPv6 %,20.338593
2017-08-04,Total IPv6 %,18.176777
2017-08-03,Total IPv6 %,17.393572
2017-08-02,Total IPv6 %,17.217101
2017-08-01,Total IPv6 %,17.167671
2017-07-31,Total IPv6 %,17.256014
2017-07-30,Total IPv6 %,19.725363
2017-07-29,Total IPv6 %,20.237778
2017-07-28,Total IPv6 %,18.179759
2017-07-27,Total IPv6 %,17.339137
2017-07-26,Total IPv6 %,17.111741
2017-07-25,Total IPv6 %,16.959865
2017-07-24,Total IPv6 %,16.976139
2017-07-23,Total IPv6 %,19.688906
2017-07-22,Total IPv6 %,20.136543
2017-07-21,Total IPv6 %,17.809181
2017-07-20,Total IPv6 %,17.012119
2017-07-19,Total IPv6 %,16.829916
2017-07-18,Total IPv6 %,16.683112
2017-07-17,Total IPv6 %,16.864472
2017-07-16,Total IPv6 %,19.658739
2017-07-15,Total IPv6 %,19.905729
2017-07-14,Total IPv6 %,17.777559
2017-07-13,Total IPv6 %,16.759234
2017-07-12,Total IPv6 %,16.701538
2017-07-11,Total IPv6 %,16.621888
2017-07-10,Total IPv6 %,16.760713
2017-07-09,Total IPv6 %,19.325947
2017-07-08,Total IPv6 %,19.78209
2017-07-07,Total IPv6 %,17.537672
2017-07-06,Total IPv6 %,16.693972
2017-07-05,Total IPv6 %,16.496522
2017-07-04,Total IPv6 %,16.617865
2017-07-03,Total IPv6 %,16.810605
2017-07-02,Total IPv6 %,19.058711
2017-07-01,Total IPv6 %,19.624775
2017-06-30,Total IPv6 %,17.48203
2017-06-29,Total IPv6 %,16.625825
2017-06-28,Total IPv6 %,16.461549
2017-06-27,Total IPv6 %,16.440191
2017-06-26,Total IPv6 %,16.652197
2017-06-25,Total IPv6 %,19.477789
2017-06-24,Total IPv6 %,19.76069
2017-06-23,Total IPv6 %,17.378949
2017-06-22,Total IPv6 %,16.419038
2017-06-21,Total IPv6 %,16.191724
2017-06-20,Total IPv6 %,16.099694
2017-06-19,Total IPv6 %,16.032431
2017-06-18,Total IPv6 %,18.679978
2017-06-17,Total IPv6 %,19.222461
2017-06-16,Total IPv6 %,16.968738
2017-06-15,Total IPv6 %,16.216629
2017-06-14,Total IPv6 %,15.708773
2017-06-13,Total IPv6 %,15.591132
2017-06-12,Total IPv6 %,15.687004
2017-06-11,Total IPv6 %,18.484813
2017-06-10,Total IPv6 %,18.896008
2017-06-09,Total IPv6 %,16.666237
2017-06-08,Total IPv6 %,15.636843
2017-06-07,Total IPv6 %,15.607504
2017-06-06,Total IPv6 %,15.524379
2017-06-05,Total IPv6 %,16.092788
2017-06-04,Total IPv6 %,18.25291
2017-06-03,Total IPv6 %,18.717767
2017-06-02,Total IPv6 %,16.403548
2017-06-01,Total IPv6 %,15.622399
2017-05-31,Total IPv6 %,15.531299
2017-05-30,Total IPv6 %,15.506812
2017-05-29,Total IPv6 %,16.413053
2017-05-28,Total IPv6 %,18.143389
2017-05-27,Total IPv6 %,18.627692
2017-05-26,Total IPv6 %,16.404678
2017-05-25,Total IPv6 %,15.799589
2017-05-24,Total IPv6 %,15.170008
2017-05-23,Total IPv6 %,15.019377
2017-05-22,Total IPv6 %,15.102476
2017-05-21,Total IPv6 %,17.881991
2017-05-20,Total IPv6 %,18.497103
2017-05-19,Total IPv6 %,15.906589
2017-05-18,Total IPv6 %,15.038128
2017-05-17,Total IPv6 %,14.814929
2017-05-16,Total IPv6 %,14.738963
2017-05-15,Total IPv6 %,14.817408
2017-05-14,Total IPv6 %,17.786494
2017-05-13,Total IPv6 %,18.280212
2017-05-12,Total IPv6 %,15.536222
2017-05-11,Total IPv6 %,14.716537
2017-05-10,Total IPv6 %,14.671973
2017-05-09,Total IPv6 %,14.512779
2017-05-08,Total IPv6 %,14.743179
2017-05-07,Total IPv6 %,17.457852
2017-05-06,Total IPv6 %,17.928325
2017-05-05,Total IPv6 %,15.431463
2017-05-04,Total IPv6 %,14.805868
2017-05-03,Total IPv6 %,14.680453
2017-05-02,Total IPv6 %,14.679302
2017-05-01,Total IPv6 %,16.320704
2017-04-30,Total IPv6 %,17.916472
2017-04-29,Total IPv6 %,17.978437
2017-04-28,Total IPv6 %,15.369848
2017-04-27,Total IPv6 %,14.544589
2017-04-26,Total IPv6 %,14.388016
2017-04-25,Total IPv6 %,14.023531
2017-04-24,Total IPv6 %,13.920026
2017-04-23,Total IPv6 %,16.824614
2017-04-22,Total IPv6 %,17.331065
2017-04-21,Total IPv6 %,14.82405
2017-04-20,Total IPv6 %,13.953203
2017-04-19,Total IPv6 %,13.969444
2017-04-18,Total IPv6 %,13.899169
2017-04-17,Total IPv6 %,15.306333
2017-04-16,Total IPv6 %,17.074022
2017-04-15,Total IPv6 %,17.482552
2017-04-14,Total IPv6 %,16.643353
2017-04-13,Total IPv6 %,14.865734
2017-04-12,Total IPv6 %,14.320424
2017-04-11,Total IPv6 %,14.040007
2017-04-10,Total IPv6 %,14.079139
2017-04-09,Total IPv6 %,16.55631
2017-04-08,Total IPv6 %,16.999797
2017-04-07,Total IPv6 %,14.593918
2017-04-06,Total IPv6 %,13.830606
2017-04-05,Total IPv6 %,13.746059
2017-04-04,Total IPv6 %,13.621353
2017-04-03,Total IPv6 %,13.716996
2017-04-02,Total IPv6 %,16.479308
2017-04-01,Total IPv6 %,16.865549
2017-03-31,Total IPv6 %,14.366263
2017-03-30,Total IPv6 %,13.62087
2017-03-29,Total IPv6 %,13.549798
2017-03-28,Total IPv6 %,13.458543
2017-03-27,Total IPv6 %,13.498578
2017-03-26,Total IPv6 %,16.469796
2017-03-25,Total IPv6 %,16.834054
2017-03-24,Total IPv6 %,14.222321
2017-03-23,Total IPv6 %,13.304762
2017-03-22,Total IPv6 %,13.32416
2017-03-21,Total IPv6 %,13.239122
2017-03-20,Total IPv6 %,13.45121
2017-03-19,Total IPv6 %,16.414136
2017-03-18,Total IPv6 %,16.635458
2017-03-17,Total IPv6 %,14.016883
2017-03-16,Total IPv6 %,13.220381
2017-03-15,Total IPv6 %,13.197308
2017-03-14,Total IPv6 %,13.254343
2017-03-13,Total IPv6 %,13.136185
2017-03-12,Total IPv6 %,16.071801
2017-03-11,Total IPv6 %,16.506933
2017-03-10,Total IPv6 %,13.978093
2017-03-09,Total IPv6 %,13.198807
2017-03-08,Total IPv6 %,13.23517
2017-03-07,Total IPv6 %,13.026238
2017-03-06,Total IPv6 %,13.12292
2017-03-05,Total IPv6 %,16.061687
2017-03-04,Total IPv6 %,16.395785
2017-03-03,Total IPv6 %,13.726279
2017-03-02,Total IPv6 %,13.08292
2017-03-01,Total IPv6 %,13.154918
2017-02-28,Total IPv6 %,13.268829
2017-02-27,Total IPv6 %,13.339593
2017-02-26,Total IPv6 %,16.127268
2017-02-25,Total IPv6 %,16.452379
2017-02-24,Total IPv6 %,13.868607
2017-02-23,Total IPv6 %,13.252442
2017-02-22,Total IPv6 %,13.104333
2017-02-21,Total IPv6 %,13.037506
2017-02-20,Total IPv6 %,13.760633
2017-02-19,Total IPv6 %,15.777106
2017-02-18,Total IPv6 %,16.264198
2017-02-17,Total IPv6 %,13.853716
2017-02-16,Total IPv6 %,12.920298
2017-02-15,Total IPv6 %,12.855543
2017-02-14,Total IPv6 %,12.996118
2017-02-13,Total IPv6 %,13.094111
