label,category,value
2017-02-12,Total IPv6 %,15.835262
2017-02-11,Total IPv6 %,16.221402
2017-02-10,Total IPv6 %,13.611093
2017-02-09,Total IPv6 %,12.929225
2017-02-08,Total IPv6 %,12.894369
2017-02-07,Total IPv6 %,12.84736
2017-02-06,Total IPv6 %,12.936949
2017-02-05,Total IPv6 %,15.937771
2017-02-04,Total IPv6 %,16.330306
2017-02-03,Total IPv6 %,13.636796
2017-02-02,Total IPv6 %,12.904182
2017-02-01,Total IPv6 %,12.865224
2017-01-31,Total IPv6 %,12.865931
2017-01-30,Total IPv6 %,12.990077
2017-01-29,Total IPv6 %,16.000316
2017-01-28,Total IPv6 %,16.436075
2017-01-27,Total IPv6 %,13.637956
2017-01-26,Total IPv6 %,13.117736
2017-01-25,Total IPv6 %,13.096015
2017-01-24,Total IPv6 %,12.827304
2017-01-23,Total IPv6 %,12.891431
2017-01-22,Total IPv6 %,16.046447
2017-01-21,Total IPv6 %,16.303894
2017-01-20,Total IPv6 %,13.682159
2017-01-19,Total IPv6 %,12.870815
2017-01-18,Total IPv6 %,12.845051
2017-01-17,Total IPv6 %,12.800868
2017-01-16,Total IPv6 %,13.564094
2017-01-15,Total IPv6 %,15.923538
2017-01-14,Total IPv6 %,16.416457
2017-01-13,Total IPv6 %,13.66772
2017-01-12,Total IPv6 %,12.965747
2017-01-11,Total IPv6 %,12.935434
2017-01-10,Total IPv6 %,12.862623
2017-01-09,Total IPv6 %,13.165151
2017-01-08,Total IPv6 %,16.042733
2017-01-07,Total IPv6 %,16.330881
2017-01-06,Total IPv6 %,14.151818
2017-01-05,Total IPv6 %,13.487598
2017-01-04,Total IPv6 %,13.447222
2017-01-03,Total IPv6 %,13.666978
2017-01-02,Total IPv6 %,15.12765
2017-01-01,Total IPv6 %,16.508263
2016-12-31,Total IPv6 %,16.802882
2016-12-30,Total IPv6 %,15.566024
2016-12-29,Total IPv6 %,14.736658
2016-12-28,Total IPv6 %,14.543607
2016-12-27,Total IPv6 %,14.546704
2016-12-26,Total IPv6 %,15.136212
2016-12-25,Total IPv6 %,15.691966
2016-12-24,Total IPv6 %,16.07691
2016-12-23,Total IPv6 %,14.774744
2016-12-22,Total IPv6 %,13.68737
2016-12-21,Total IPv6 %,13.217431
2016-12-20,Total IPv6 %,13.020605
2016-12-19,Total IPv6 %,13.035753
2016-12-18,Total IPv6 %,15.557956
2016-12-17,Total IPv6 %,15.923281
2016-12-16,Total IPv6 %,13.449788
2016-12-15,Total IPv6 %,12.797973
2016-12-14,Total IPv6 %,12.538765
2016-12-13,Total IPv6 %,12.36055
2016-12-12,Total IPv6 %,12.397392
2016-12-11,Total IPv6 %,15.305065
2016-12-10,Total IPv6 %,15.485409
2016-12-09,Total IPv6 %,12.914804
2016-12-08,Total IPv6 %,12.491603
2016-12-07,Total IPv6 %,12.397617
2016-12-06,Total IPv6 %,12.265921
2016-12-05,Total IPv6 %,12.351033
2016-12-04,Total IPv6 %,15.112636
2016-12-03,Total IPv6 %,15.36935
2016-12-02,Total IPv6 %,12.851436
2016-12-01,Total IPv6 %,12.253539
2016-11-30,Total IPv6 %,12.245305
2016-11-29,Total IPv6 %,12.099721
2016-11-28,Total IPv6 %,12.416766
2016-11-27,Total IPv6 %,15.014112
2016-11-26,Total IPv6 %,15.406372
2016-11-25,Total IPv6 %,13.794135
2016-11-24,Total IPv6 %,12.745686
2016-11-23,Total IPv6 %,12.460628
2016-11-22,Total IPv6 %,12.096136
2016-11-21,Total IPv6 %,12.081335
2016-11-20,Total IPv6 %,14.809183
2016-11-19,Total IPv6 %,15.12944
2016-11-18,Total IPv6 %,12.529622
2016-11-17,Total IPv6 %,11.889414
2016-11-16,Total IPv6 %,11.833701
2016-11-15,Total IPv6 %,11.895387
2016-11-14,Total IPv6 %,11.890632
2016-11-13,Total IPv6 %,14.68793
2016-11-12,Total IPv6 %,15.00784
2016-11-11,Total IPv6 %,13.122175
2016-11-10,Total IPv6 %,11.729063
2016-11-09,Total IPv6 %,11.91069
2016-11-08,Total IPv6 %,12.926879
2016-11-07,Total IPv6 %,11.853091
2016-11-06,Total IPv6 %,14.598874
2016-11-05,Total IPv6 %,14.882284
2016-11-04,Total IPv6 %,12.308854
2016-11-03,Total IPv6 %,11.863702
2016-11-02,Total IPv6 %,12.2143
2016-11-01,Total IPv6 %,12.340225
2016-10-31,Total IPv6 %,11.976722
2016-10-30,Total IPv6 %,14.86037
2016-10-29,Total IPv6 %,14.925727
2016-10-28,Total IPv6 %,12.551279
2016-10-27,Total IPv6 %,11.821092
2016-10-26,Total IPv6 %,11.739459
2016-10-25,Total IPv6 %,11.611698
2016-10-24,Total IPv6 %,11.662923
2016-10-23,Total IPv6 %,14.237352
2016-10-22,Total IPv6 %,14.486187
2016-10-21,Total IPv6 %,12.227482
2016-10-20,Total IPv6 %,11.649208
2016-10-19,Total IPv6 %,11.539945
2016-10-18,Total IPv6 %,11.295497
2016-10-17,Total IPv6 %,11.444592
2016-10-16,Total IPv6 %,14.19361
2016-10-15,Total IPv6 %,14.293661
2016-10-14,Total IPv6 %,11.967099
2016-10-13,Total IPv6 %,11.335849
2016-10-12,Total IPv6 %,11.566859
2016-10-11,Total IPv6 %,11.431134
2016-10-10,Total IPv6 %,11.667099
2016-10-09,Total IPv6 %,13.984876
2016-10-08,Total IPv6 %,14.045712
2016-10-07,Total IPv6 %,11.840154
2016-10-06,Total IPv6 %,11.235722
2016-10-05,Total IPv6 %,11.125921
2016-10-04,Total IPv6 %,11.152133
2016-10-03,Total IPv6 %,11.580262
2016-10-02,Total IPv6 %,13.89943
2016-10-01,Total IPv6 %,14.111478
2016-09-30,Total IPv6 %,11.740603
2016-09-29,Total IPv6 %,11.176541
2016-09-28,Total IPv6 %,11.071682
2016-09-27,Total IPv6 %,10.934111
2016-09-26,Total IPv6 %,11.04065
2016-09-25,Total IPv6 %,13.739257
2016-09-24,Total IPv6 %,13.741657
2016-09-23,Total IPv6 %,11.425556
2016-09-22,Total IPv6 %,10.919234
2016-09-21,Total IPv6 %,10.930383
2016-09-20,Total IPv6 %,10.790475
2016-09-19,Total IPv6 %,10.994444
2016-09-18,Total IPv6 %,13.748628
2016-09-17,Total IPv6 %,13.754028
2016-09-16,Total IPv6 %,11.39671
2016-09-15,Total IPv6 %,11.0137
2016-09-14,Total IPv6 %,10.939558
2016-09-13,Total IPv6 %,10.804357
2016-09-12,Total IPv6 %,10.984651
2016-09-11,Total IPv6 %,13.598037
2016-09-10,Total IPv6 %,13.621778
2016-09-09,Total IPv6 %,11.20175
2016-09-08,Total IPv6 %,10.752842
2016-09-07,Total IPv6 %,10.770648
2016-09-06,Total IPv6 %,10.676651
2016-09-05,Total IPv6 %,11.606316
2016-09-04,Total IPv6 %,13.0352
2016-09-03,Total IPv6 %,13.305531
2016-09-02,Total IPv6 %,11.285939
2016-09-01,Total IPv6 %,10.75887
2016-08-31,Total IPv6 %,10.730483
2016-08-30,Total IPv6 %,10.759375
2016-08-29,Total IPv6 %,10.908486
2016-08-28,Total IPv6 %,13.066531
2016-08-27,Total IPv6 %,13.210222
2016-08-26,Total IPv6 %,11.284025
2016-08-25,Total IPv6 %,10.816862
2016-08-24,Total IPv6 %,10.68632
2016-08-23,Total IPv6 %,10.610194
2016-08-22,Total IPv6 %,10.788309
2016-08-21,Total IPv6 %,13.052205
2016-08-20,Total IPv6 %,13.274463
2016-08-19,Total IPv6 %,11.412247
2016-08-18,Total IPv6 %,10.968323
2016-08-17,Total IPv6 %,10.844795
2016-08-16,Total IPv6 %,10.88538
2016-08-15,Total IPv6 %,11.373231
2016-08-14,Total IPv6 %,13.072752
2016-08-13,Total IPv6 %,13.073504
2016-08-12,Total IPv6 %,11.553587
2016-08-11,Total IPv6 %,11.042182
2016-08-10,Total IPv6 %,10.914112
2016-08-09,Total IPv6 %,10.86558
2016-08-08,Total IPv6 %,10.910389
2016-08-07,Total IPv6 %,12.810163
2016-08-06,Total IPv6 %,12.944689
2016-08-05,Total IPv6 %,11.441142
2016-08-04,Total IPv6 %,10.874356
2016-08-03,Total IPv6 %,10.836186
2016-08-02,Total IPv6 %,10.886928
2016-08-01,Total IPv6 %,10.932638
2016-07-31,Total IPv6 %,12.93629
2016-07-30,Total IPv6 %,12.997782
2016-07-29,Total IPv6 %,11.491409
2016-07-28,Total IPv6 %,10.87492
2016-07-27,Total IPv6 %,10.800391
2016-07-26,Total IPv6 %,10.721377
2016-07-25,Total IPv6 %,10.745451
2016-07-24,Total IPv6 %,12.700585
2016-07-23,Total IPv6 %,12.897845
2016-07-22,Total IPv6 %,11.239589
2016-07-21,Total IPv6 %,10.733452
2016-07-20,Total IPv6 %,10.613502
2016-07-19,Total IPv6 %,10.551272
2016-07-18,Total IPv6 %,10.617192
2016-07-17,Total IPv6 %,12.709721
2016-07-16,Total IPv6 %,12.591621
2016-07-15,Total IPv6 %,11.062797
2016-07-14,Total IPv6 %,10.67873
2016-07-13,Total IPv6 %,10.63473
2016-07-12,Total IPv6 %,10.523366
2016-07-11,Total IPv6 %,10.573741
2016-07-10,Total IPv6 %,12.430034
2016-07-09,Total IPv6 %,12.76699
2016-07-08,Total IPv6 %,11.233763
2016-07-07,Total IPv6 %,10.671411
2016-07-06,Total IPv6 %,10.777272
2016-07-05,Total IPv6 %,10.797286
2016-07-04,Total IPv6 %,10.683396
2016-07-03,Total IPv6 %,12.287186
2016-07-02,Total IPv6 %,12.529144
2016-07-01,Total IPv6 %,11.130791
2016-06-30,Total IPv6 %,10.478014
2016-06-29,Total IPv6 %,10.356099
2016-06-28,Total IPv6 %,10.33335
2016-06-27,Total IPv6 %,10.383401
2016-06-26,Total IPv6 %,12.354204
2016-06-25,Total IPv6 %,12.526124
2016-06-24,Total IPv6 %,10.887467
2016-06-23,Total IPv6 %,10.317952
2016-06-22,Total IPv6 %,10.147542
2016-06-21,Total IPv6 %,10.130641
2016-06-20,Total IPv6 %,10.133929
2016-06-19,Total IPv6 %,12.167673
2016-06-18,Total IPv6 %,12.207035
2016-06-17,Total IPv6 %,10.561628
2016-06-16,Total IPv6 %,10.072938
2016-06-15,Total IPv6 %,10.03971
2016-06-14,Total IPv6 %,9.899264
2016-06-13,Total IPv6 %,10.012544
2016-06-12,Total IPv6 %,12.148172
2016-06-11,Total IPv6 %,12.150962
2016-06-10,Total IPv6 %,10.411004
2016-06-09,Total IPv6 %,9.888758
2016-06-08,Total IPv6 %,9.943317
2016-06-07,Total IPv6 %,9.860758
2016-06-06,Total IPv6 %,9.922649
2016-06-05,Total IPv6 %,12.035597
2016-06-04,Total IPv6 %,12.218054
2016-06-03,Total IPv6 %,10.363121
2016-06-02,Total IPv6 %,9.882154
2016-06-01,Total IPv6 %,9.85735
2016-05-31,Total IPv6 %,9.782025
2016-05-30,Total IPv6 %,10.499911
2016-05-29,Total IPv6 %,11.661068
2016-05-28,Total IPv6 %,11.760752
2016-05-27,Total IPv6 %,10.181166
2016-05-26,Total IPv6 %,9.767517
2016-05-25,Total IPv6 %,9.511337
2016-05-24,Total IPv6 %,9.51498
2016-05-23,Total IPv6 %,9.608804
2016-05-22,Total IPv6 %,11.728008
2016-05-21,Total IPv6 %,11.80843
2016-05-20,Total IPv6 %,9.858456
2016-05-19,Total IPv6 %,9.401628
2016-05-18,Total IPv6 %,9.368943
2016-05-17,Total IPv6 %,9.377219
2016-05-16,Total IPv6 %,9.818278
2016-05-15,Total IPv6 %,11.487938
2016-05-14,Total IPv6 %,11.594235
2016-05-13,Total IPv6 %,9.667775
2016-05-12,Total IPv6 %,9.265519
2016-05-11,Total IPv6 %,9.248617
2016-05-10,Total IPv6 %,9.21709
2016-05-09,Total IPv6 %,9.297174
2016-05-08,Total IPv6 %,11.275079
2016-05-07,Total IPv6 %,11.490608
2016-05-06,Total IPv6 %,9.757603
2016-05-05,Total IPv6 %,9.558533
2016-05-04,Total IPv6 %,9.311177
2016-05-03,Total IPv6 %,9.422515
2016-05-02,Total IPv6 %,9.585172
2016-05-01,Total IPv6 %,11.655389
2016-04-30,Total IPv6 %,11.737845
2016-04-29,Total IPv6 %,9.787631
2016-04-28,Total IPv6 %,9.376883
2016-04-27,Total IPv6 %,9.238077
2016-04-26,Total IPv6 %,9.161886
2016-04-25,Total IPv6 %,9.173409
2016-04-24,Total IPv6 %,11.259721
2016-04-23,Total IPv6 %,11.375805
2016-04-22,Total IPv6 %,9.574866
2016-04-21,Total IPv6 %,9.234377
2016-04-20,Total IPv6 %,8.922339
2016-04-19,Total IPv6 %,8.950564
2016-04-18,Total IPv6 %,9.031334
2016-04-17,Total IPv6 %,11.126289
2016-04-16,Total IPv6 %,11.164295
2016-04-15,Total IPv6 %,9.352307
2016-04-14,Total IPv6 %,8.876032
2016-04-13,Total IPv6 %,8.926982
2016-04-12,Total IPv6 %,8.821967
2016-04-11,Total IPv6 %,8.818523
2016-04-10,Total IPv6 %,10.881252
2016-04-09,Total IPv6 %,10.978353
2016-04-08,Total IPv6 %,9.259964
2016-04-07,Total IPv6 %,8.869151
2016-04-06,Total IPv6 %,8.818597
2016-04-05,Total IPv6 %,8.720815
2016-04-04,Total IPv6 %,8.837711
2016-04-03,Total IPv6 %,10.675091
2016-04-02,Total IPv6 %,10.761124
2016-04-01,Total IPv6 %,9.29142
2016-03-31,Total IPv6 %,8.936838
2016-03-30,Total IPv6 %,8.860315
2016-03-29,Total IPv6 %,8.707904
2016-03-28,Total IPv6 %,9.528402
2016-03-27,Total IPv6 %,10.668785
2016-03-26,Total IPv6 %,10.728476
2016-03-25,Total IPv6 %,10.311961
2016-03-24,Total IPv6 %,9.180774
2016-03-23,Total IPv6 %,8.8771
2016-03-22,Total IPv6 %,8.655073
2016-03-21,Total IPv6 %,8.808037
2016-03-20,Total IPv6 %,10.727872
2016-03-19,Total IPv6 %,10.588929
2016-03-18,Total IPv6 %,9.004637
2016-03-17,Total IPv6 %,8.522476
2016-03-16,Total IPv6 %,8.436745
2016-03-15,Total IPv6 %,8.427329
2016-03-14,Total IPv6 %,8.429568
2016-03-13,Total IPv6 %,10.512955
2016-03-12,Total IPv6 %,10.500232
2016-03-11,Total IPv6 %,8.820758
2016-03-10,Total IPv6 %,8.391876
2016-03-09,Total IPv6 %,8.41613
2016-03-08,Total IPv6 %,8.347572
2016-03-07,Total IPv6 %,8.403392
2016-03-06,Total IPv6 %,9.835749
2016-03-05,Total IPv6 %,10.501483
2016-03-04,Total IPv6 %,8.737537
2016-03-03,Total IPv6 %,8.287252
2016-03-02,Total IPv6 %,8.330305
2016-03-01,Total IPv6 %,8.351115
2016-02-29,Total IPv6 %,8.346625
2016-02-28,Total IPv6 %,10.218164
2016-02-27,Total IPv6 %,10.259145
2016-02-26,Total IPv6 %,8.631065
2016-02-25,Total IPv6 %,8.306673
2016-02-24,Total IPv6 %,8.331112
2016-02-23,Total IPv6 %,8.248962
2016-02-22,Total IPv6 %,8.249141
2016-02-21,Total IPv6 %,10.15568
2016-02-20,Total IPv6 %,10.24086
2016-02-19,Total IPv6 %,8.525127
2016-02-18,Total IPv6 %,8.153995
2016-02-17,Total IPv6 %,8.153562
2016-02-16,Total IPv6 %,8.220215
2016-02-15,Total IPv6 %,8.840308
2016-02-14,Total IPv6 %,10.110813
2016-02-13,Total IPv6 %,10.207177
2016-02-12,Total IPv6 %,8.55454
2016-02-11,Total IPv6 %,8.032849
2016-02-10,Total IPv6 %,8.323276
2016-02-09,Total IPv6 %,8.373189
2016-02-08,Total IPv6 %,8.456491
2016-02-07,Total IPv6 %,10.115004
2016-02-06,Total IPv6 %,10.215734
2016-02-05,Total IPv6 %,8.513781
2016-02-04,Total IPv6 %,8.105605
2016-02-03,Total IPv6 %,8.097543
2016-02-02,Total IPv6 %,8.085749
2016-02-01,Total IPv6 %,8.191148
2016-01-31,Total IPv6 %,10.145537
2016-01-30,Total IPv6 %,10.214317
2016-01-29,Total IPv6 %,8.445686
2016-01-28,Total IPv6 %,8.128375
2016-01-27,Total IPv6 %,8.117856
2016-01-26,Total IPv6 %,8.099727
2016-01-25,Total IPv6 %,8.191779
2016-01-24,Total IPv6 %,10.108156
2016-01-23,Total IPv6 %,10.201191
2016-01-22,Total IPv6 %,8.564165
2016-01-21,Total IPv6 %,8.078307
2016-01-20,Total IPv6 %,8.057729
2016-01-19,Total IPv6 %,7.997012
2016-01-18,Total IPv6 %,8.571338
2016-01-17,Total IPv6 %,9.95424
2016-01-16,Total IPv6 %,10.152659
2016-01-15,Total IPv6 %,8.448632
2016-01-14,Total IPv6 %,8.126461
2016-01-13,Total IPv6 %,8.170182
2016-01-12,Total IPv6 %,7.938764
2016-01-11,Total IPv6 %,8.155369
2016-01-10,Total IPv6 %,10.156266
2016-01-09,Total IPv6 %,10.282147
2016-01-08,Total IPv6 %,8.367516
2016-01-07,Total IPv6 %,8.14738
2016-01-06,Total IPv6 %,8.402086
2016-01-05,Total IPv6 %,8.250987
2016-01-04,Total IPv6 %,8.419446
2016-01-03,Total IPv6 %,10.066704
2016-01-02,Total IPv6 %,10.09436
2016-01-01,Total IPv6 %,10.405305
2015-12-31,Total IPv6 %,10.003646
2015-12-30,Total IPv6 %,9.271129
2015-12-29,Total IPv6 %,9.104747
2015-12-28,Total IPv6 %,9.112383
2015-12-27,Total IPv6 %,9.958991
2015-12-26,Total IPv6 %,9.974585
2015-12-25,Total IPv6 %,9.845164
2015-12-24,Total IPv6 %,9.378315
2015-12-23,Total IPv6 %,8.830224
2015-12-22,Total IPv6 %,8.594402
2015-12-21,Total IPv6 %,8.459507
2015-12-20,Total IPv6 %,9.705756
2015-12-19,Total IPv6 %,9.873476
2015-12-18,Total IPv6 %,8.452148
2015-12-17,Total IPv6 %,8.049811
2015-12-16,Total IPv6 %,8.053341
2015-12-15,Total IPv6 %,8.00217
2015-12-14,Total IPv6 %,8.010708
2015-12-13,Total IPv6 %,9.912589
2015-12-12,Total IPv6 %,9.906079
2015-12-11,Total IPv6 %,8.236259
2015-12-10,Total IPv6 %,7.908217
2015-12-09,Total IPv6 %,7.907398
2015-12-08,Total IPv6 %,8.015663
2015-12-07,Total IPv6 %,8.006984
2015-12-06,Total IPv6 %,9.823242
2015-12-05,Total IPv6 %,9.884584
2015-12-04,Total IPv6 %,8.130153
2015-12-03,Total IPv6 %,7.833638
2015-12-02,Total IPv6 %,7.83966
2015-12-01,Total IPv6 %,7.768931
2015-11-30,Total IPv6 %,7.940996
2015-11-29,Total IPv6 %,9.703775
2015-11-28,Total IPv6 %,9.72568
2015-11-27,Total IPv6 %,8.739498
2015-11-26,Total IPv6 %,7.999141
2015-11-25,Total IPv6 %,7.91394
2015-11-24,Total IPv6 %,7.702761
2015-11-23,Total IPv6 %,7.588878
2015-11-22,Total IPv6 %,9.493884
2015-11-21,Total IPv6 %,9.471631
2015-11-20,Total IPv6 %,7.819509
2015-11-19,Total IPv6 %,7.448833
2015-11-18,Total IPv6 %,7.439182
2015-11-17,Total IPv6 %,7.404964
