label,category,value
{{label_1}},2016,77.82
{{label_1}},2017,81.62
{{label_2}},2016,7.96
{{label_2}},2017,7.04
{{label_3}},2016,6.37
{{label_3}},2017,5.21
{{label_4}},2016,6.39
{{label_4}},2017,4.64
{{label_5}},2016,0.15
{{label_5}},2017,0.15
{{label_6}},2016,0.08
{{label_6}},2017,0.04
{{label_7}},2016,0.01
{{label_7}},2017,0.02
{{label_8}},2016,1.22
{{label_8}},2017,1.28
{{label_9}},2016,14.34
{{label_9}},2017,12.27
